pollster,date,republican,democrat,neither,don’t_know,refuse,n
badger_polls,7/10/10,36,24,40,,,
mu_law,1/22/12,40,41,16,3,0,318
mu_law,2/19/12,34,35,24,7,1,284
mu_law,3/25/12,37,38,17,6,1,280
mu_law,4/29/12,43,40,14,2,0,246
mu_law,5/12/12,41,36,19,3,2,299
mu_law,5/26/12,39,39,17,4,1,276
mu_law,6/16/12,36,44,18,3,1,292
mu_law,7/8/12,39,38,20,2,1,378
mu_law,8/5/12,40,39,18,3,1,518
mu_law,8/19/12,38,34,21,6,1,316
mu_law,9/16/12,36,44,16,4,0,282
mu_law,9/30/12,43,43,12,2,0,400
mu_law,10/14/12,42,41,14,3,0,414
mu_law,10/28/12,39,43,12,4,1,524
mu_law,3/14/13,33,43,20,4,1,446
mu_law,5/9/13,39,36,19,2,3,290
mu_law,7/18/13,35,39,21,4,1,306
mu_law,10/24/13,37,43,16,3,1,309
mu_law,1/23/14,36,38,23,3,NA,354
mu_law,3/23/14,33,43,19,5,1,377
mu_law,5/18/14,35,44,17,3,1,350
mu_law,7/20/14,35,41,22,2,0,357
mu_law,8/24/14,39,36,23,2,1,332
mu_law,9/14/14,42,39,15,3,0,338
mu_law,9/28/14,37,39,19,4,1,341
mu_law,10/12/14,40,38,15,7,0,402
mu_law,10/26/14,41,36,16,5,1,586
mu_law,4/10/15,34,42,19,6,NA,364
mu_law,8/16/15,34,44,17,4,0,355
mu_law,9/28/15,34,43,17,4,2,356
mu_law,11/15/15,34,38,26,2,2,330
mu_law,1/24/16,41,36,19,4,0,347
mu_law,2/21/16,33,42,18,7,0,342
mu_law,3/28/16,40,40,15,5,0,553
mu_law,6/12/16,36,44,16,3,0,346
mu_law,7/10/16,36,44,17,3,1,360
mu_law,8/7/16,40,36,20,4,1,274
mu_law,8/28/16,42,38,15,3,1,340
mu_law,9/18/16,38,42,16,4,0,295
mu_law,10/9/16,37,42,18,3,0,390
mu_law,10/31/16,39,39,17,4,0,569
mu_law,3/16/17,38,43,14,3,1,343
mu_law,6/25/17,37,41,19,2,1,328
mu_law,3/1/18,30,44,22,3,1,375
mu_law,6/17/18,41,39,16,3,1,351
mu_law,7/15/18,32,37,25,4,1,360
mu_law,8/19/18,36,36,24,4,0,310
mu_law,9/16/18,38,39,21,2,0,269
mu_law,10/7/18,38,39,19,4,NA,364
mu_law,10/28/18,38,41,17,3,1,524
mu_law,1/20/19,38,35,24,4,NA,340
mu_law,4/7/19,36,39,22,2,1,323
mu_law,8/29/19,45,38,16,1,NA,368
mu_law,10/17/19,36,39,21,4,1,325
mu_law,11/17/19,38,36,20,5,1,342
mu_law,12/8/19,37,39,20,4,0,319
mu_law,1/12/20,41,37,17,4,1,360
mu_law,2/23/20,36,39,22,3,0,403
mu_law,3/29/20,44,38,16,2,0,319
mu_law,5/7/20,35,40,20,3,2,341
mu_law,6/18/20,37,40,21,2,0,317
mu_law,8/9/20,35,41,19,5,NA,324
mu_law,9/3/20,36,43,18,3,1,330
mu_law,10/4/20,37,38,19,5,1,340
mu_law,10/25/20,38,39,21,1,0,327